city,customer_name,customer_segment,discount,number_of_records,order_date,order_id,order_priority,order_quantity,product_base_margin,product_category,product_container,product_name,product_sub_category,profit,region,row_id,sales,ship_date,ship_mode,shipping_cost,state,unit_price,zip_code
McKeesport,Jessica Myrick,Small Business,0.1,1,2012-01-01,28774,High,32,0.68,Office Supplies,Small Box,"Perma STOR-ALL™ Hanging File Box, 13 1/8""W x 12 1/4""D x 10 1/2""H",Storage & Organization,-111.8,East,4031,180.36,2012-01-02,Regular Air,4.69,Pennsylvania,5.98,15131
Bowie,Matt Collister,Home Office,0.08,1,2012-01-01,13729,Not Specified,9,,Office Supplies,Large Box,Safco Industrial Wire Shelving,Storage & Organization,-342.91,East,1914,872.48,2012-01-03,Express Air,35,Maryland,95.99,20715
Napa,Alan Schoenberger,Corporate,0,1,2012-01-02,37537,Low,4,0.56,Furniture,Jumbo Drum,Hon 4070 Series Pagoda™ Armless Upholstered Stacking Chairs,Chairs & Chairmats,-193.08,West,5272,1239.06,2012-01-02,Delivery Truck,48.8,California,291.73,94559
Montebello,Elizabeth Moffitt,Consumer,0.08,1,2012-01-02,44069,Critical,43,0.39,Office Supplies,Wrap Bag,White GlueTop Scratch Pads,Paper,247.79,West,6225,614.8,2012-01-02,Regular Air,1.97,California,15.04,90640
Napa,Alan Schoenberger,Corporate,0.07,1,2012-01-02,37537,Low,43,0.69,Furniture,Jumbo Drum,Hon Valutask™ Swivel Chairs,Chairs & Chairmats,-1049.85,West,5273,4083.19,2012-01-04,Delivery Truck,45,California,100.98,94559
Montebello,Elizabeth Moffitt,Consumer,0.09,1,2012-01-02,44069,Critical,16,0.4,Office Supplies,Wrap Bag,"Black Print Carbonless Snap-Off® Rapid Letter, 8 1/2"" x 7""",Paper,26.71,West,6224,137.63,2012-01-04,Express Air,2.15,California,9.11,90640
Prior Lake,David Philippe,Consumer,0.06,1,2012-01-02,9285,Critical,3,0.36,Office Supplies,Small Box,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",Binders and Binder Accessories,-11.937,Central,1279,124.81,2012-01-04,Regular Air,2.99,Minnesota,40.98,55372
Napa,Alan Schoenberger,Corporate,0.05,1,2012-01-02,37537,Low,32,0.59,Office Supplies,Small Box,"Dual Level, Single-Width Filing Carts",Storage & Organization,1438.49,West,5274,4902.38,2012-01-09,Regular Air,7.07,California,155.06,94559
Phenix City,Patrick Jones,Home Office,0.09,1,2012-01-03,40354,High,4,0.64,Furniture,Jumbo Box,Bush Advantage Collection® Round Conference Table,Tables,-93.16,South,5705,698,2012-01-04,Delivery Truck,52.2,Alabama,212.6,36869
Draper,Larry Tron,Home Office,0.05,1,2012-01-03,9762,High,12,0.78,Furniture,Medium Box,36X48 HARDFLOOR CHAIRMAT,Office Furnishings,-146.05,West,1336,262.76,2012-01-04,Regular Air,21.2,Utah,20.98,84020
Phenix City,Patrick Jones,Home Office,0.03,1,2012-01-03,40354,High,29,0.37,Office Supplies,Small Box,Avery Heavy-Duty EZD ™ Binder With Locking Rings,Binders and Binder Accessories,12.5545,South,5704,172.51,2012-01-04,Regular Air,2.99,Alabama,5.58,36869
Lake Oswego,Alex Russell,Home Office,0.03,1,2012-01-03,7909,High,29,0.44,Office Supplies,Wrap Bag,"Dixon Prang® Watercolor Pencils, 10-Color Set with Brush",Pens & Art Supplies,24.55,West,1074,122.23,2012-01-04,Regular Air,1.2,Oregon,4.26,97035
Kearney,Bill Donatelli,Corporate,0.03,1,2012-01-03,30016,Critical,15,0.4,Office Supplies,Small Box,Xerox 4200 Series MultiUse Premium Copy Paper (20Lb. and 84 Bright),Paper,-41.58,Central,4223,85.56,2012-01-05,Regular Air,5.66,Nebraska,5.28,68847
Layton,Ann Steele,Corporate,0,1,2012-01-03,11972,Not Specified,4,0.59,Technology,Jumbo Drum,Panasonic KX-P2130 Dot Matrix Printer,Office Machines,-452.2695,West,1663,896.49,2012-01-05,Delivery Truck,14.7,Utah,213.45,84041
Baton Rouge,Andy Reiter,Corporate,0.08,1,2012-01-03,9637,Low,12,0.66,Technology,Small Box,"Fellowes Mobile Numeric Keypad, Graphite",Computer Peripherals,-236.43,South,1315,522.49,2012-01-05,Regular Air,16.71,Louisiana,43.22,70802
Kearney,Bill Donatelli,Corporate,0.01,1,2012-01-03,30016,Critical,8,0.57,Technology,Small Box,T18,Telephones and Communication,-212.553,Central,4224,754.6555,2012-01-06,Regular Air,2.5,Nebraska,110.99,68847
Baton Rouge,Andy Reiter,Corporate,0.04,1,2012-01-03,9637,Low,12,0.36,Office Supplies,Wrap Bag,"Staples Wirebound Steno Books, 6"" x 9"", 12/Pack",Paper,32.44,South,1317,123.76,2012-01-07,Regular Air,2.27,Louisiana,10.14,70802
Baton Rouge,Andy Reiter,Corporate,0.05,1,2012-01-03,9637,Low,49,0.37,Technology,Large Box,Polycom ViaVideo™ Desktop Video Communications Unit,Office Machines,14440.39,South,1316,28359.4,2012-01-10,Regular Air,24.49,Louisiana,574.74,70802
Bryan,Dave Hallsten,Home Office,0.06,1,2012-01-04,49730,High,3,0.61,Furniture,Jumbo Drum,Office Star - Professional Matrix Back Chair with 2-to-1 Synchro Tilt and Mesh Fabric Seat,Chairs & Chairmats,-394.69,Central,6953,1039.56,2012-01-05,Delivery Truck,30,Texas,350.98,77803
Pharr,Tamara Dahlen,Corporate,0.03,1,2012-01-04,8710,Critical,17,0.4,Office Supplies,Small Box,Cardinal Poly Pocket Divider Pockets for Ring Binders,Binders and Binder Accessories,-76.015,Central,1193,63.34,2012-01-05,Regular Air,6.27,Texas,3.36,78577
Pharr,Tamara Dahlen,Corporate,0.07,1,2012-01-04,8710,Critical,42,0.35,Office Supplies,Wrap Bag,"""While you Were Out"" Message Book, One Form per Page",Paper,8.33,Central,1194,151.35,2012-01-06,Express Air,1.93,Texas,3.71,78577
Bedford,Darren Budd,Consumer,0.07,1,2012-01-05,57253,Critical,48,0.6,Furniture,Large Box,Telescoping Adjustable Floor Lamp,Office Furnishings,-335.24,Central,8013,12635.75,2012-01-05,Regular Air,35,Texas,279.48,76021
Bedford,Darren Budd,Consumer,0.04,1,2012-01-05,57253,Critical,25,0.55,Technology,Small Box,232,Telephones and Communication,667.449,Central,8015,2750.107,2012-01-05,Regular Air,5.26,Texas,125.99,76021
Dubuque,Marina Lichtenstein,Corporate,0.08,1,2012-01-05,32418,Not Specified,5,0.55,Furniture,Jumbo Drum,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",Chairs & Chairmats,-131.31,Central,4555,1244.19,2012-01-06,Delivery Truck,43.32,Iowa,243.98,52001
Bedford,Darren Budd,Consumer,0.08,1,2012-01-05,57253,Critical,49,0.7,Furniture,Jumbo Box,"Iceberg OfficeWorks 42"" Round Tables",Tables,-139.15575,Central,8014,240.3,2012-01-06,Regular Air,5.68,Texas,4.91,76021
Bedford,Darren Budd,Consumer,0.08,1,2012-01-05,57253,Critical,43,0.58,Furniture,Jumbo Drum,"Metal Folding Chairs, Beige, 4/Carton",Chairs & Chairmats,1.74,Central,8011,78.08,2012-01-06,Regular Air,0.75,Texas,1.81,76021
Norman,Pauline Chand,Small Business,0.02,1,2012-01-05,28451,Critical,41,0.59,Furniture,Large Box,Luxo Professional Fluorescent Magnifier Lamp with Clamp-Mount Base,Office Furnishings,2593.14,Central,3982,8958.46,2012-01-06,Regular Air,21.21,Oklahoma,209.84,73071
Ormond Beach,Valerie Dominguez,Corporate,0.09,1,2012-01-05,25601,Medium,43,0.68,Office Supplies,Small Box,"Perma STOR-ALL™ Hanging File Box, 13 1/8""W x 12 1/4""D x 10 1/2""H",Storage & Organization,-131.08,South,3588,257.41,2012-01-06,Regular Air,4.69,Florida,5.98,32174
Deer Park,Dorris Love,Home Office,0.05,1,2012-01-05,290,Not Specified,24,0.36,Office Supplies,Wrap Bag,"Rediform Wirebound ""Phone Memo"" Message Book, 11 x 5-3/4",Paper,-32.48,East,47,188.73,2012-01-06,Regular Air,5.83,New York,7.64,11729
Fort Dodge,Matt Collins,Consumer,0.03,1,2012-01-05,1028,High,6,0.4,Technology,Small Pack,"Memorex 4.7GB DVD+RW, 3/Pack",Computer Peripherals,-28.46,Central,164,165.75,2012-01-06,Regular Air,1.99,Iowa,28.48,50501
Bedford,Darren Budd,Consumer,0.06,1,2012-01-05,57253,Critical,29,0.64,Furniture,Jumbo Drum,Hon 4700 Series Mobuis™ Mid-Back Task Chairs with Adjustable Arms,Chairs & Chairmats,-1358.9,Central,8012,653.54,2012-01-07,Delivery Truck,53.03,Texas,20.98,76021
Norman,Pauline Chand,Small Business,0.01,1,2012-01-05,28451,Critical,21,0.59,Furniture,Large Box,Electrix Halogen Magnifier Lamp,Office Furnishings,1162.76,Central,3981,4201.08,2012-01-07,Regular Air,11.54,Oklahoma,194.3,73071
Monroe,Robert Waldorf,Home Office,0,1,2012-01-05,59232,High,23,0.4,Office Supplies,Small Box,"IBM Multi-Purpose Copy Paper, 8 1/2 x 11"", Case",Paper,245.97,South,8291,725.43,2012-01-07,Regular Air,5.76,Louisiana,30.98,71203
